Platform,Subject,Category/Unit,Module/Topic,Rating,MCQs
Marrow,Pharmacology,CENTRAL AND PERIPHERAL NERVOUS SYSTEM,Drugs for Parkinson’s Disease,4.4,16
Marrow,Pharmacology,CENTRAL AND PERIPHERAL NERVOUS SYSTEM,Antidepressant and Antianxiety Drugs,4.4,26
Marrow,Pharmacology,CENTRAL AND PERIPHERAL NERVOUS SYSTEM,Opioids - Functions and Classification,4.5,20
Marrow,Pharmacology,CENTRAL AND PERIPHERAL NERVOUS SYSTEM,Synthetic Opioids,4.5,25
Marrow,Pharmacology,CENTRAL AND PERIPHERAL NERVOUS SYSTEM,Opioid Antagonists,4.6,13
Marrow,Pharmacology,CENTRAL AND PERIPHERAL NERVOUS SYSTEM,Alcohols,4.4,11
Marrow,Pharmacology,CENTRAL AND PERIPHERAL NERVOUS SYSTEM,Drugs for Alzheimer's Disease and Other Neurodegenerative Disorders,4.4,11
Marrow,Pharmacology,ANTIMICROBIALS,General Principles of Antimicrobial Therapy,4.4,12
Marrow,Pharmacology,ANTIMICROBIALS,Antimalarial Drugs,4.5,17
Marrow,Pharmacology,ANTIMICROBIALS,"Sulfonamides , Quinolones and Urinary antiseptics",4.5,23
Marrow,Pharmacology,ANTIMICROBIALS,Antimicrobials Acting on 30s Subunit,4.4,23
Marrow,Pharmacology,ANTIMICROBIALS,Antimicrobials Acting on 50s Subunit,4.5,15
Marrow,Pharmacology,ANTIMICROBIALS,Antiretroviral Drugs,4.5,26
Marrow,Pharmacology,ANTIMICROBIALS,Penicillins,4.6,19
Marrow,Pharmacology,ANTIMICROBIALS,"Cephalosporins, Vancomycin and Carbapenems",4.6,18
Marrow,Pharmacology,ANTIMICROBIALS,Miscellaneous Antimicrobials,4.5,11
Marrow,Pharmacology,ANTIMICROBIALS,Anti-Protozoal agents and Anthelmintic drugs,4.4,24
Marrow,Pharmacology,ANTIMICROBIALS,Antifungal Agents,4.5,25
Marrow,Pharmacology,ANTIMICROBIALS,First Line Drugs for Tuberculosis,4.5,21
Marrow,Pharmacology,ANTIMICROBIALS,Second Line Drugs for Tuberculosis,4.5,10
Marrow,Pharmacology,ANTIMICROBIALS,Anti-leprosy drugs,4.5,11
Marrow,Pharmacology,ANTIMICROBIALS,Anti-virals (Non-retroviral),4.4,17
Marrow,Pharmacology,ENDOCRINE SYSTEM,Hypothalamus and Pituitary,4.4,11
Marrow,Pharmacology,ENDOCRINE SYSTEM,Thyroid and Antithyroid Agents,4.4,12
Marrow,Pharmacology,ENDOCRINE SYSTEM,Corticosteroids,4.4,21
Marrow,Pharmacology,ENDOCRINE SYSTEM,Osteoporosis and Calcium Metabolism,4.5,16
Marrow,Pharmacology,ENDOCRINE SYSTEM,Anti-Diabetic Drugs - Oral,4.5,18
Marrow,Pharmacology,ENDOCRINE SYSTEM,Anti-Diabetic Drugs - Injectable,4.5,19
Marrow,Pharmacology,ENDOCRINE SYSTEM,"OCPs, Estrogens and Progestins",4.5,25
Marrow,Pharmacology,ENDOCRINE SYSTEM,Androgens and Drugs for Erectile Dysfunction,4.5,9
Marrow,Pharmacology,ENDOCRINE SYSTEM,Drugs Acting on Uterus,4.4,10
Marrow,Pharmacology,AUTACOIDS,NSAIDs,4.4,17
Marrow,Pharmacology,AUTACOIDS,Antimigraine and Antigout drugs,4.5,16
Marrow,Pharmacology,AUTACOIDS,Anti-rheumatoid drugs,4.6,10
Marrow,Pharmacology,AUTACOIDS,Anti-histamines,4.4,11
Marrow,Pharmacology,HEMATOLOGY,"Antiplatelets, Fibrinolytics and Antifibrinolytics",4.4,16
Marrow,Pharmacology,HEMATOLOGY,Hematinics,4.4,13
Marrow,Pharmacology,HEMATOLOGY,Anticoagulants,4.5,32
Marrow,Pharmacology,RESPIRATORY SYSTEM,Respiratory System,4.5,30
Marrow,Pharmacology,GASTROINTESTINAL DRUGS,Acid Peptic Disorders and Inflammatory Bowel Disease,4.5,21
Marrow,Pharmacology,GASTROINTESTINAL DRUGS,Anti-emetics and Drugs Affecting Gastrointestinal Motility,4.4,26
Marrow,Pharmacology,ANTI-NEOPLASTIC AGENTS,Cell Cycle Specific Cytotoxic Drugs,4.5,27
Marrow,Pharmacology,ANTI-NEOPLASTIC AGENTS,Non Cell Cycle Specific Cytotoxic Drugs,4.5,25
Marrow,Pharmacology,ANTI-NEOPLASTIC AGENTS,Monoclonal Antibodies,4.5,23
Marrow,Pharmacology,ANTI-NEOPLASTIC AGENTS,"Interleukins, Growth Factors and Targeted Therapies",4.4,29
Marrow,Microbiology,GENERAL MICROBIOLOGY,General Microbiology,4.5,23
Marrow,Microbiology,IMMUNOLOGY,Components of Immune system,4.4,22
Marrow,Microbiology,IMMUNOLOGY,Structure and Functions of the Immune System & Immune Response,4.4,20
Marrow,Microbiology,IMMUNOLOGY,Hypersensitivity,4.5,13
Marrow,Microbiology,IMMUNOLOGY,Immune Disorders,4.4,11
Marrow,Microbiology,BACTERIOLOGY,Streptococci and Enterococci,4.5,20
Marrow,Microbiology,BACTERIOLOGY,Staphylococci,4.6,15
Marrow,Microbiology,BACTERIOLOGY,"Corynebacterium, Listeria and Actinomyces",4.5,20
Marrow,Microbiology,BACTERIOLOGY,Clostridium and Bacillus,4.5,21
Marrow,Microbiology,BACTERIOLOGY,Mycobacteria Tuberculosis,4.4,13
Marrow,Microbiology,BACTERIOLOGY,Other Mycobacteria,4.5,11
Marrow,Microbiology,BACTERIOLOGY,"Escherichia, Proteus and Klebsiella",4.5,16
Marrow,Microbiology,BACTERIOLOGY,Shigella and Salmonella,4.5,14
Marrow,Microbiology,BACTERIOLOGY,Vibrio and Campylobacterales,4.5,23
Marrow,Microbiology,BACTERIOLOGY,Pseudomonas and Burkholderiales,4.5,15
Marrow,Microbiology,BACTERIOLOGY,Haemophilus,4.6,12
Marrow,Microbiology,BACTERIOLOGY,"Miscellaneous Bacteria - Yersinia, Brucella, Bartonella, Legionella",4.4,22
Marrow,Microbiology,BACTERIOLOGY,Gram Negative Cocci,4.4,17
Marrow,Microbiology,BACTERIOLOGY,"Rickettsia, Chlamydia and Mycoplasma",4.5,22
Marrow,Microbiology,BACTERIOLOGY,Spirochetes,4.5,20
Marrow,Microbiology,VIROLOGY,General Properties of Viruses,4.4,15
Marrow,Microbiology,VIROLOGY,DNA Viruses,4.5,24
Marrow,Microbiology,VIROLOGY,Hepatitis,4.5,23
Marrow,Microbiology,HIV,HIV,4.4,11
Marrow,Microbiology,HIV,Myxoviruses and Rhabdoviruses,4.5,17
Marrow,Microbiology,HIV,Arboviruses and Picorna Viruses,4.4,19
Marrow,Microbiology,HIV,"Miscellaneous Viruses - Rubella, Coronaviruses, Prions, Rotavirus, Filovirus, Zika Virus and Nipah Virus",4.5,16
Marrow,Microbiology,MYCOLOGY,Superficial and Systemic Mycoses,4.5,20
Marrow,Microbiology,MYCOLOGY,Opportunistic Mycoses,4.6,13
Marrow,Microbiology,PARASITOLOGY,General Parasitology,4.5,15
Marrow,Microbiology,PARASITOLOGY,"Protozoology - Amoebae, Ciliates & Flagellates",4.5,22
Marrow,Microbiology,PARASITOLOGY,Protozoology - Sporozoa,4.6,15
Marrow,Microbiology,PARASITOLOGY,Helminthology - Cestodes & Trematodes,4.5,17
Marrow,Microbiology,PARASITOLOGY,Helminthology - Nematodes,4.6,22
Marrow,Microbiology,APPLIED MICROBIOLOGY,Applied Microbiology,4.4,15
Marrow,Pathology,GENERAL PATHOLOGY,"Cellular Genetics, Adaptations and Injury",4.6,22
Marrow,Pathology,GENERAL PATHOLOGY,Cell Death,4.5,24
Marrow,Pathology,GENERAL PATHOLOGY,"Intracellular Accumulations, Pathological Calcification and Cellular Ageing",4.5,15
Marrow,Pathology,GENERAL PATHOLOGY,Acute Inflammation,4.5,24
Marrow,Pathology,GENERAL PATHOLOGY,Inflammatory Mediators and Granulomatous Inflammation,4.5,23
Marrow,Pathology,GENERAL PATHOLOGY,Tissue Repair,4.5,11
Marrow,Pathology,GENERAL PATHOLOGY,Disorders of Hemodynamics and Hemostasis,4.5,20
Marrow,Pathology,GENERAL PATHOLOGY,Modes of Inheritance,4.4,22
Marrow,Pathology,GENERAL PATHOLOGY,Lysosomal and Glycogen Storage Diseases,4.6,16
Marrow,Pathology,GENERAL PATHOLOGY,Chromosomal Disorders and Other Genetic Disorders,4.5,21
Marrow,Pathology,GENERAL PATHOLOGY,Characteristics of Neoplasms and Epidemiology,4.5,18
Marrow,Pathology,GENERAL PATHOLOGY,Molecular Basis of Cancer and Tumor Immunity,4.5,28
Marrow,Pathology,GENERAL PATHOLOGY,"Carcinogenesis, Paraneoplastic Syndromes and Tumor Markers",4.5,28
Marrow,Pathology,GENERAL PATHOLOGY,Components of Immune System,4.5,20
Marrow,Pathology,GENERAL PATHOLOGY,Hypersensitivity and Autoimmunity,4.5,14
Marrow,Pathology,GENERAL PATHOLOGY,Immunodeficiency Syndromes,4.4,22
Marrow,Pathology,GENERAL PATHOLOGY,Amyloidosis and Graft Rejection,4.5,19
Marrow,Pathology,HEMATOLOGY,Microcytic Anemia,4.5,16
Marrow,Pathology,HEMATOLOGY,Normocytic And Macrocytic Anemia,4.5,19
Marrow,Pathology,HEMATOLOGY,Basics of Hemolysis and Intravascular Hemolysis,4.5,14
Marrow,Pathology,HEMATOLOGY,Extravascular Hemolysis,4.5,28
Marrow,Pathology,HEMATOLOGY,G6PD deficiency and Autoimmune Hemolytic Anemias,4.5,11
Marrow,Pathology,HEMATOLOGY,Platelet Disorders,4.5,24
Marrow,Pathology,HEMATOLOGY,Coagulation Pathway Disorders,4.5,16
Marrow,Pathology,HEMATOLOGY,Blood Products and Transfusion Reactions,4.6,13
Marrow,Pathology,HEMATOLOGY,Acute Lymphocytic Leukemia (ALL),4.4,16
Marrow,Pathology,HEMATOLOGY,Acute Myeloid Leukemia (AML),4.5,21
Marrow,Pathology,HEMATOLOGY,Hodgkin's Lymphoma,4.5,22
Marrow,Pathology,HEMATOLOGY,Non Hodgkin Lymphomas: General Considerations,4.6,8
Marrow,Pathology,HEMATOLOGY,Non Hodgkin Lymphomas: Low Grade,4.5,27
Marrow,Pathology,HEMATOLOGY,Non Hodgkin Lymphomas: High Grade,4.5,16
Marrow,Pathology,HEMATOLOGY,Multiple Myeloma and Plasma Cell Disorders,4.5,32
Marrow,Pathology,HEMATOLOGY,"Myelodysplastic Syndrome, Myeloproliferative Syndromes and Histiocytosis",4.4,29
Marrow,Pathology,HEMATOLOGY,"Leukopenia, Leukocytosis and Lymphadenitis",4.4,17
Marrow,Pathology,CARDIOVASCULAR SYSTEM,Hypertensive Vascular Disease and Atherosclerosis,4.5,20
Marrow,Pathology,CARDIOVASCULAR SYSTEM,Aneurysm and Dissection,4.4,11
Marrow,Pathology,CARDIOVASCULAR SYSTEM,Vasculitis,4.5,19
Marrow,Pathology,CARDIOVASCULAR SYSTEM,Vascular Tumors,4.5,14
Marrow,Pathology,CARDIOVASCULAR SYSTEM,Heart Failure and Ischemic Disease,4.4,25
Marrow,Pathology,CARDIOVASCULAR SYSTEM,Myocardial and Pericardial Diseases and Cardiac Tumors,4.5,22
Marrow,Pathology,CARDIOVASCULAR SYSTEM,Congenital and Valvular Heart Disease,4.5,11
Marrow,Pathology,CARDIOVASCULAR SYSTEM,Rheumatic Fever and Endocarditis,4.6,15
Marrow,Pathology,GENITOURINARY SYSTEM,Glomerular Diseases,4.5,24
Marrow,Pathology,GENITOURINARY SYSTEM,"Tubulointerstitial, Vascular and Cystic Diseases",4.5,20
Marrow,Pathology,GENITOURINARY SYSTEM,Renal Tumors,4.4,23
Marrow,Pathology,GENITOURINARY SYSTEM,Lower Urinary Tract,4.4,11
Marrow,Pathology,GENITOURINARY SYSTEM,Female Genital Tract,4.5,22
Marrow,Pathology,GENITOURINARY SYSTEM,Male Genital Tract,4.5,28
Marrow,Pathology,GASTROINTESTINAL SYSTEM,Alcoholic and Infectious Liver Disease,4.4,31
Marrow,Pathology,GASTROINTESTINAL SYSTEM,Autoimmune and Metabolic Liver Disease,4.5,20
Marrow,Pathology,GASTROINTESTINAL SYSTEM,Neoplasms of Liver and Biliary tract,4.4,16
Marrow,Pathology,GASTROINTESTINAL SYSTEM,Gall Bladder and Pancreas,4.4,9
Marrow,Pathology,GASTROINTESTINAL SYSTEM,Esophagus,4.4,21
Marrow,Pathology,GASTROINTESTINAL SYSTEM,Stomach,4.5,27
Marrow,Pathology,GASTROINTESTINAL SYSTEM,Small Intestine,4.4,12
Marrow,Pathology,GASTROINTESTINAL SYSTEM,Large Intestine - Non-Neoplastic Conditions,4.5,14
Marrow,Pathology,GASTROINTESTINAL SYSTEM,Large Intestine - Neoplastic Conditions,4.5,13
Marrow,Pathology,RESPIRATORY SYSTEM,"Congenital anomalies, ARDS, Infections",4.4,21
Marrow,Pathology,RESPIRATORY SYSTEM,Obstructive and Restrictive lung diseases,4.4,20
Marrow,Pathology,RESPIRATORY SYSTEM,Lung tumors,4.5,12
Marrow,Pathology,ENDOCRINE SYSTEM AND BREAST,"Pituitary ,Parathyroids and Pancreas",4.5,14
Marrow,Pathology,ENDOCRINE SYSTEM AND BREAST,Thyroid Glands,4.5,21
Marrow,Pathology,ENDOCRINE SYSTEM AND BREAST,The Adrenals,4.4,16
Marrow,Pathology,ENDOCRINE SYSTEM AND BREAST,The Breast,4.5,30
Marrow,Pathology,SKIN AND MUSCULOSKELETAL SYSTEM,"Developmental disorders,infections and tumors of bone",4.5,24
Marrow,Pathology,SKIN AND MUSCULOSKELETAL SYSTEM,Joints and soft tissue pathology,4.5,15
Marrow,Pathology,SKIN AND MUSCULOSKELETAL SYSTEM,Skin pathology,4.5,23
Marrow,Pathology,NERVOUS SYSTEM,Infective & Vascular CNS pathology,4.5,18
